div,name,price,virev,blgrev,addr1,addr2,attr,rating,review_name,review_cnt,,,,,,,,,,,,
캠핑,HJ글램핑,197750,896,85,경기,포천시,"개별바비큐, 2인실, 침대방, 가족실, 글램핑, 카라반, 데크, 수영장, 워터슬라이드, 바비큐장, 와이파이, 키즈테마, 잔디, 공용시설",4.63,깨끗해요,274,,,,,,,,,,,,
캠핑,HJ글램핑,197750,896,85,경기,포천시,"개별바비큐, 2인실, 침대방, 가족실, 글램핑, 카라반, 데크, 수영장, 워터슬라이드, 바비큐장, 와이파이, 키즈테마, 잔디, 공용시설",4.63,온수가 잘 나와요,209,,,,,,,,,,,,
캠핑,HJ글램핑,197750,896,85,경기,포천시,"개별바비큐, 2인실, 침대방, 가족실, 글램핑, 카라반, 데크, 수영장, 워터슬라이드, 바비큐장, 와이파이, 키즈테마, 잔디, 공용시설",4.63,조용히 쉬기 좋아요,201,,,,,,,,,,,,
캠핑,HJ글램핑,197750,896,85,경기,포천시,"개별바비큐, 2인실, 침대방, 가족실, 글램핑, 카라반, 데크, 수영장, 워터슬라이드, 바비큐장, 와이파이, 키즈테마, 잔디, 공용시설",4.63,바비큐 해먹기 좋아요 ,196,,,,,,,,,,,,
캠핑,HJ글램핑,197750,896,85,경기,포천시,"개별바비큐, 2인실, 침대방, 가족실, 글램핑, 카라반, 데크, 수영장, 워터슬라이드, 바비큐장, 와이파이, 키즈테마, 잔디, 공용시설",4.63,매너타임이 잘 지켜져요,144,,,,,,,,,,,,
캠핑,알파카스테이,,510,57,강원,홍천군,"계곡, 글램핑, 바비큐장, 공용시설",,뷰가 좋아요,115,,,,,,,,,,,,
캠핑,알파카스테이,,510,57,강원,홍천군,"계곡, 글램핑, 바비큐장, 공용시설",,깨끗해요,75,,,,,,,,,,,,
캠핑,알파카스테이,,510,57,강원,홍천군,"계곡, 글램핑, 바비큐장, 공용시설",,주차하기 편해요,59,,,,,,,,,,,,
캠핑,알파카스테이,,510,57,강원,홍천군,"계곡, 글램핑, 바비큐장, 공용시설",,사진이 잘 나와요,54,,,,,,,,,,,,
캠핑,알파카스테이,,510,57,강원,홍천군,"계곡, 글램핑, 바비큐장, 공용시설",,조용히 쉬기 좋아요,38,,,,,,,,,,,,
캠핑,담양힐링파크새연리조트3호점,130666,830,123,전남,담양군,"독채, 침대방, 온돌방, 글램핑, 카라반, 수영장, 바비큐장, 공용시설",4.66,바비큐 해먹기 좋아요 ,83,,,,,,,,,,,,
캠핑,담양힐링파크새연리조트3호점,130666,830,123,전남,담양군,"독채, 침대방, 온돌방, 글램핑, 카라반, 수영장, 바비큐장, 공용시설",4.66,온수가 잘 나와요,54,,,,,,,,,,,,
캠핑,담양힐링파크새연리조트3호점,130666,830,123,전남,담양군,"독채, 침대방, 온돌방, 글램핑, 카라반, 수영장, 바비큐장, 공용시설",4.66,주차하기 편해요,50,,,,,,,,,,,,
캠핑,담양힐링파크새연리조트3호점,130666,830,123,전남,담양군,"독채, 침대방, 온돌방, 글램핑, 카라반, 수영장, 바비큐장, 공용시설",4.66,조용히 쉬기 좋아요,32,,,,,,,,,,,,
캠핑,담양힐링파크새연리조트3호점,130666,830,123,전남,담양군,"독채, 침대방, 온돌방, 글램핑, 카라반, 수영장, 바비큐장, 공용시설",4.66,깨끗해요,27,,,,,,,,,,,,
캠핑,쉐르빌리안티티,,12,1,강원,홍천군,,,,,,,,,,,,,,,,
캠핑,양촌여울체험캠프,,12,88,경남,창원시,"주차, 포장, 방문접수/출장, 예약, 남/녀 화장실 구분",,,,,,,,,,,,,,,
캠핑,어반슬로우시티글램핑카라반수상레저,169000,554,237,강원,춘천시,"카라반, 글램핑, 오토캠핑, 데크, 수영장, 워터슬라이드, 바비큐장, 반려동물, 독채, 신축, 모던, 자연학습, 잔디, 투어, 개별바비큐, 계곡, 워터파크, 수상레저",4.64,깨끗해요,92,,,,,,,,,,,,
캠핑,어반슬로우시티글램핑카라반수상레저,169000,554,237,강원,춘천시,"카라반, 글램핑, 오토캠핑, 데크, 수영장, 워터슬라이드, 바비큐장, 반려동물, 독채, 신축, 모던, 자연학습, 잔디, 투어, 개별바비큐, 계곡, 워터파크, 수상레저",4.64,뷰가 좋아요,89,,,,,,,,,,,,
캠핑,어반슬로우시티글램핑카라반수상레저,169000,554,237,강원,춘천시,"카라반, 글램핑, 오토캠핑, 데크, 수영장, 워터슬라이드, 바비큐장, 반려동물, 독채, 신축, 모던, 자연학습, 잔디, 투어, 개별바비큐, 계곡, 워터파크, 수상레저",4.64,화장실이 잘 되어있어요,77,,,,,,,,,,,,
